--- Hyperparameters ---
FILE_PATH,s1/S1_E1_A1.mat
WINDOW_SIZE,50
BATCH_SIZE,64
LR,0.001
GAMMA,0.995
EPSILON_START,1.0
EPSILON_DECAY,0.995
EPSILON_MIN,0.01
BUFFER_CAPACITY,10000
NUM_EPISODES,500
MAX_SAMPLES,5000
CHANNELS,"[0, 1, 2, 3, 4, 5, 6, 7]"
STEP,50
Output_dimensions,2

--- Training Data ---
Episode,Total Reward,Accuracy (%),Epsilon
1,7.0,53.535353535353536,0.995
2,-7.0,46.464646464646464,0.990025
3,3.0,51.515151515151516,0.985074875
4,3.0,51.515151515151516,0.9801495006250001
5,-5.0,47.474747474747474,0.9752487531218751
6,9.0,54.54545454545454,0.9703725093562657
7,-5.0,47.474747474747474,0.9655206468094844
8,1.0,50.505050505050505,0.960693043575437
9,-1.0,49.494949494949495,0.9558895783575597
10,3.0,51.515151515151516,0.9511101304657719
11,7.0,53.535353535353536,0.946354579813443
12,3.0,51.515151515151516,0.9416228069143757
13,3.0,51.515151515151516,0.9369146928798039
14,3.0,51.515151515151516,0.9322301194154049
15,3.0,51.515151515151516,0.9275689688183278
16,-3.0,48.484848484848484,0.9229311239742362
17,13.0,56.56565656565656,0.918316468354365
18,5.0,52.52525252525253,0.9137248860125932
19,17.0,58.58585858585859,0.9091562615825302
20,7.0,53.535353535353536,0.9046104802746175
21,3.0,51.515151515151516,0.9000874278732445
22,5.0,52.52525252525253,0.8955869907338783
23,27.0,63.63636363636363,0.8911090557802088
24,11.0,55.55555555555556,0.8866535105013078
25,-5.0,47.474747474747474,0.8822202429488013
26,11.0,55.55555555555556,0.8778091417340573
27,3.0,51.515151515151516,0.8734200960253871
28,29.0,64.64646464646465,0.8690529955452602
29,17.0,58.58585858585859,0.8647077305675338
30,31.0,65.65656565656566,0.8603841919146962
31,13.0,56.56565656565656,0.8560822709551227
32,17.0,58.58585858585859,0.851801859600347
33,9.0,54.54545454545454,0.8475428503023453
34,15.0,57.57575757575758,0.8433051360508336
35,15.0,57.57575757575758,0.8390886103705794
36,17.0,58.58585858585859,0.8348931673187264
37,31.0,65.65656565656566,0.8307187014821328
38,27.0,63.63636363636363,0.8265651079747222
39,7.0,53.535353535353536,0.8224322824348486
40,13.0,56.56565656565656,0.8183201210226743
41,11.0,55.55555555555556,0.8142285204175609
42,27.0,63.63636363636363,0.810157377815473
43,13.0,56.56565656565656,0.8061065909263957
44,29.0,64.64646464646465,0.8020760579717637
45,13.0,56.56565656565656,0.798065677681905
46,19.0,59.59595959595959,0.7940753492934954
47,27.0,63.63636363636363,0.7901049725470279
48,33.0,66.66666666666666,0.7861544476842928
49,23.0,61.61616161616161,0.7822236754458713
50,25.0,62.62626262626263,0.778312557068642
51,23.0,61.61616161616161,0.7744209942832988
52,5.0,52.52525252525253,0.7705488893118823
53,39.0,69.6969696969697,0.7666961448653229
54,31.0,65.65656565656566,0.7628626641409962
55,29.0,64.64646464646465,0.7590483508202912
56,31.0,65.65656565656566,0.7552531090661897
57,21.0,60.60606060606061,0.7514768435208588
58,21.0,60.60606060606061,0.7477194593032545
59,29.0,64.64646464646465,0.7439808620067382
60,29.0,64.64646464646465,0.7402609576967045
61,25.0,62.62626262626263,0.736559652908221
62,13.0,56.56565656565656,0.7328768546436799
63,17.0,58.58585858585859,0.7292124703704616
64,43.0,71.71717171717171,0.7255664080186093
65,29.0,64.64646464646465,0.7219385759785162
66,47.0,73.73737373737373,0.7183288830986236
67,27.0,63.63636363636363,0.7147372386831305
68,29.0,64.64646464646465,0.7111635524897149
69,39.0,69.6969696969697,0.7076077347272662
70,31.0,65.65656565656566,0.7040696960536299
71,13.0,56.56565656565656,0.7005493475733617
72,47.0,73.73737373737373,0.697046600835495
73,23.0,61.61616161616161,0.6935613678313175
74,41.0,70.70707070707071,0.6900935609921609
75,41.0,70.70707070707071,0.6866430931872001
76,35.0,67.67676767676768,0.6832098777212641
77,39.0,69.6969696969697,0.6797938283326578
78,41.0,70.70707070707071,0.6763948591909945
79,35.0,67.67676767676768,0.6730128848950395
80,29.0,64.64646464646465,0.6696478204705644
81,27.0,63.63636363636363,0.6662995813682115
82,39.0,69.6969696969697,0.6629680834613705
83,49.0,74.74747474747475,0.6596532430440636
84,23.0,61.61616161616161,0.6563549768288433
85,33.0,66.66666666666666,0.653073201944699
86,49.0,74.74747474747475,0.6498078359349755
87,39.0,69.6969696969697,0.6465587967553006
88,23.0,61.61616161616161,0.6433260027715241
89,31.0,65.65656565656566,0.6401093727576664
90,27.0,63.63636363636363,0.6369088258938781
